ID; name; mode; input_count; success_count; error_count; time; solution; win; date
2; Armin; 2; 7; 3; 4; 14.78; Teppichklopfer; 0; 2021-4-5
3; Paul; 2; 7; 4; 3; 17.16; Teppichklopfer; 0; 2021-4-5
4; Janik; 2; 6; 2; 4; 6.09; Teppichklopfer; 0; 2021-4-5
5; Mark; 2; 6; 3; 3; 26.37; Teppichklopfer; 0; 2021-4-5
6; Jannik; 2; 7; 5; 2; 10.28; Menschen; 1; 2021-4-5
7; Mark; 2; 3; 1; 2; 5.92; Menschen; 0; 2021-4-5
8; Armin; 1; 11; 4; 7; 13.37; Schreihals; 0; 2021-4-5
9; Armin; 1; 6; 3; 3; 23.07; Essen; 1; 2021-4-5
10; A; 1; 13; 6; 7; 58.90; Fernbedienung; 0; 2021-4-5
11; Armin; 1; 8; 1; 7; 35.78; Gold; 0; 2021-4-5
12; Armin; 1; 13; 9; 4; 53.34; Rauhfasertapete; 1; 2021-4-5
13; Mark; 1; 13; 6; 7; 18.40; Rasierschaum; 0; 2021-4-5
14; Mark; 1; 16; 12; 4; 68.75; Spiegelreflexkamera; 1; 2021-4-5
15; Jannik; 1; 8; 1; 7; 16.30; Geld; 0; 2021-4-5
16; Jannik; 1; 13; 6; 7; 95.98; Lippenstift; 0; 2021-4-5
17; Jannik; 1; 11; 4; 7; 14.51; Transporter; 0; 2021-4-5
18; Jannik; 1; 9; 2; 7; 39.00; Tier; 0; 2021-4-5
19; Jannik; 1; 11; 4; 7; 35.90; Osterhase; 0; 2021-4-5
20; Jannik; 1; 10; 6; 4; 23.85; Polizei; 1; 2021-4-5
21; Paul; 1; 8; 3; 5; 87.19; Liebe; 0; 2021-4-5
22; Armin; 1; 15; 10; 5; 26.65; Hauptgewinn; 1; 2021-4-5
